Title,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link
Reemployment Services and Eligibility Assessment (RESEA) Specialist,Full-Time (Salaried),NA,"$42,000 - $47,000",Agency Employee Only - A,Closed,2023-02-26T23:55:00Z,"Accomac
  Augusta County
  Bristol
  Charlottesville
  Covington
  Danville
  Emporia
  Galax
  Northampton
  South Boston
  Tazewell
  Wythe

            Accomac
  Augusta County
  Bristol",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/reemployment-services-and-eligibility-assessment-resea-specialist-accomac-virginia-united-states-augusta-county-bristol-charlottesville-covington-danville-emporia-galax-northampton-south-bost
Field Supervisor #W1293 (Newport News),Full-Time (Salaried),NA,"$62,904 to $70,962 (salary commensurate w/experience)",Agency Employee Only - A,Closed,2023-02-27T23:55:00Z,Newport News,DCSE NEWPORT NEWS,https://www.jobs.virginia.gov/jobs/field-supervisor-w1293-newport-news-newport-news-virginia-united-states
Cabinet Making Teacher: Greensville Correctional Center #ED023,Full-Time (Salaried),NA,"$58,093 - $81,471",General Public - G,Closing soon,2023-03-06T23:55:00Z,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/cabinet-making-teacher-greensville-correctional-center-ed023-greensville-virginia-united-states
Deputy Chief Probation Officer (Probation Supervisor): Voice Verification/Biometric Unit - #00609,Full-Time (Salaried),NA,"$57,785 - $96,315",Agency Employee Only - A,Closing soon,2023-03-06T23:55:00Z,Powhatan,Deputy Dir Off-Comm Corr,https://www.jobs.virginia.gov/jobs/deputy-chief-probation-officer-probation-supervisor-voice-verification-biometric-unit-00609-powhatan-virginia-united-states
Postal Assistant: Haynesville Correctional Complex #00349,Full-Time (Salaried),NA,"$30,000 - $38,865",General Public - G,Closing soon,2023-03-06T23:55:00Z,Richmond County,Haynesville Correctional Ctr,https://www.jobs.virginia.gov/jobs/postal-assistant-haynesville-correctional-complex-00349-richmond-county-virginia-united-states
Program Support Technician (Human Resources): St. Brides Correctional Center #00438,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Closing soon,2023-03-06T23:55:00Z,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-human-resources-st-brides-correctional-center-00438-chesapeake-virginia-united-states
Plumbing/Pipefitting Teacher: St. Brides Correctional Center #ED013,Full-Time (Salaried),NA,"$56,786 - $79,639",General Public - G,Open,NA,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/plumbing-pipefitting-teacher-st-brides-correctional-center-ed013-chesapeake-virginia-united-states
Probation Officer: P&P District #5/Gloucester #P0509,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Closing soon,2023-03-06T23:55:00Z,Gloucester,Gloucester P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-5-gloucester-p0509-gloucester-virginia-united-states
Fish Culturist,Full-Time (Salaried),3,"Starting @ $29,772 (salary to commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Bath,Coursey Springs Hatchery,https://www.jobs.virginia.gov/jobs/fish-culturist-bath-virginia-united-states
Program Support Technician 00724,Full-Time (Salaried),NA,"Commensurate with experience up to $41,600",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,COMMERCIAL LICENSING WORK CNTR,https://www.jobs.virginia.gov/jobs/program-support-technician-00724-richmond-virginia-united-states
Chief Financial Officer - #ARS00646,Full-Time (Salaried),7,Commensurate with experience - Projected Salary in the $150s,General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/chief-financial-officer-ars00646-henrico-virginia-united-states
ROW Associate,Full-Time (Salaried),NA,"$47,000 flat amount",General Public - G,Closed,2023-03-02T23:55:00Z,Salem,Salem District Office,https://www.jobs.virginia.gov/jobs/row-associate-salem-virginia-united-states
Environmental Health Specialist Sr.,Full-Time (Salaried),4,"$42,000 - $58,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Culpepper,RAP-RAP-CULPEPER,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-culpepper-virginia-united-states
Public Health Nurse (RN),Full-Time (Salaried),4,"$60,900 - $67,250",General Public - G,Closing soon,2023-03-07T23:55:00Z,Culpepper,RAP-RAP-CULPEPER,https://www.jobs.virginia.gov/jobs/public-health-nurse-rn-culpepper-virginia-united-states
Program Support Technician 00870,Full-Time (Salaried),3,"Commensurate with experience $41,600",General Public - G,Closed,2023-03-01T23:55:00Z,Richmond,DRIVER SERVICES ADMIN,https://www.jobs.virginia.gov/jobs/program-support-technician-00870-richmond-virginia-united-states
District Wildlife Biologist,Full-Time (Salaried),5,"Starting @ $53,000 (salary to commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,"Wise, Virginia",Clinch Mountain,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-wise-virginia-virginia-united-states
District Wildlife Biologist,Full-Time (Salaried),5,"Starting @$53,000 (salary to commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Prince Edward,Briery Creek WMA,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-prince-edward-virginia-united-states
Production Technician: Haynesville Correctional Center #00231,Full-Time (Salaried),NA,"$33,626 - $50,440",General Public - G,Closing soon,2023-03-06T23:55:00Z,Richmond County,Haynesville Correctional Ctr,https://www.jobs.virginia.gov/jobs/production-technician-haynesville-correctional-center-00231-richmond-county-virginia-united-states
Release Engineer #00882: Department of Corrections,Full-Time (Salaried),NA,"$77,175 - $127,339",General Public - G,Closing soon,2023-03-06T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/release-engineer-00882-department-of-corrections-richmond-virginia-united-states
District Wildlife Biologist,Full-Time (Salaried),5,"Starting @ $53,000 (salary to commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Smyth,Region III Office Marion,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-smyth-virginia-united-states
Probation Officer,Full-Time (Salaried),NA,"starting $53,183 (commensurate with experience)",General Public - G,Closed,2023-03-05T23:55:00Z,"Wise, Virginia",CSU 30 - Wise,https://www.jobs.virginia.gov/jobs/probation-officer-wise-virginia-virginia-united-states
Planning and Reporting Program Manager,Full-Time (Salaried),NA,"$81,375 - $132,235",General Public - G,Closed,2023-03-02T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/planning-and-reporting-program-manager-richmond-virginia-united-states
BRRO - P4421 - Stormwater Inspector,Full-Time (Salaried),5,"$50,811 - $85,000",General Public - G,Closed,2023-03-03T23:55:00Z,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",Blue Ridge Regional Office,https://www.jobs.virginia.gov/jobs/brro-p4421-stormwater-inspector-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla
CO - P6038 -  Mitigation Specialist,Full-Time (Salaried),5,"$50,811 - $90,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p6038-mitigation-specialist-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-blan
Attorney - Legal Affairs and Policy,Full-Time (Salaried),NA,"$130,000-$160,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/attorney-legal-affairs-and-policy-richmond-virginia-united-states
Program Management Coordinator,Full-Time (Salaried),NA,"$48,000 - $78,008",General Public - G,Open,2023-03-10T23:55:00Z,NA,Bristol District Office,https://www.jobs.virginia.gov/jobs/program-management-coordinator-bristol-virginia-united-states-ea6c6a3b-255b-4e55-ab4d-3e4a97676646
Memory Care Activities Assistant,Full-Time (Salaried),NA,"$33,280 - $39,520",General Public - G,Closed,2023-03-01T23:55:00Z,Richmond,Sitter-Barfoot Veterans Care,https://www.jobs.virginia.gov/jobs/memory-care-activities-assistant-richmond-virginia-united-states
Accounting Supervisor: Central Administration #01557,Full-Time (Salaried),NA,"$46,305 - $72,236",General Public - G,Closed,2023-02-27T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/accounting-supervisor-central-administration-01557-richmond-virginia-united-states
Website Administrator Sr. #01482: Department of Corrections,Full-Time (Salaried),NA,"$77,175 - $127,339",General Public - G,Closing soon,2023-03-06T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/website-administrator-sr-01482-department-of-corrections-richmond-virginia-united-states
Casework Counselor: Central Virginia Correctional Unit 13 #13060,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Closing soon,2023-03-06T23:55:00Z,Chesterfield,Central VA Corr Unit 13,https://www.jobs.virginia.gov/jobs/casework-counselor-central-virginia-correctional-unit-13-13060-chesterfield-virginia-united-states-afb81a2e-64a4-42f1-a256-592c6fe029d2
Fiscal Tech Senior: Nottoway Correctional Center #00645,Full-Time (Salaried),NA,"$38,000 - $54,317",General Public - G,Closing soon,2023-03-06T23:55:00Z,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/fiscal-tech-senior-nottoway-correctional-center-00645-nottoway-virginia-united-states
Librarian: Dillwyn Correctional Center #ED004,Full-Time (Salaried),NA,"$51,626 - $72,403",General Public - G,Closing soon,2023-03-06T23:55:00Z,Buckingham,Dillwyn Correctional Center,https://www.jobs.virginia.gov/jobs/librarian-dillwyn-correctional-center-ed004-buckingham-virginia-united-states
Corrections Sergeant: Coffeewood Correctional Center #00162,Full-Time (Salaried),NA,"$46,400 - $82,732",Agency Employee Only - A,Closing soon,2023-03-06T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-sergeant-coffeewood-correctional-center-00162-culpepper-virginia-united-states
Casework Counselor: Beaumont Corr Center #02134,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Closing soon,2023-03-06T23:55:00Z,Goochland,State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/casework-counselor-beaumont-corr-center-02134-goochland-virginia-united-states
Casework Counselor Senior: Beaumont Corr Center #02133,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Closing soon,2023-03-06T23:55:00Z,Goochland,State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-beaumont-corr-center-02133-goochland-virginia-united-states
Plant Manager: Coffeewood Correctional Center #00122,Full-Time (Salaried),NA,"$56,228 - $84,341",General Public - G,Closing soon,2023-03-06T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/plant-manager-coffeewood-correctional-center-00122-culpepper-virginia-united-states
Office Services Assistant: P&P District #10 Arlington #P1007,Full-Time (Salaried),NA,"$37,485 - $48,561",General Public - G,Closing soon,2023-03-06T23:55:00Z,Arlington,Arlington P&P,https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-10-arlington-p1007-arlington-virginia-united-states
Office Services Assistant - Human Resources: Fluvanna Correctional Center #00528,Full-Time (Salaried),NA,"$30,000 - $38,865",General Public - G,Closing soon,2023-03-06T23:55:00Z,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/office-services-assistant-human-resources-fluvanna-correctional-center-00528-fluvanna-virginia-united-states
Maintenance Operator-McLean,Full-Time (Salaried),NA,"$40,000-64,000",General Public - G,Closed,2023-03-03T23:55:00Z,Fairfax County,Merrifield Area Headquarters,https://www.jobs.virginia.gov/jobs/maintenance-operator-mclean-fairfax-county-virginia-united-states
CO - P4078 - Enforcement and Data Quality Coordinator (Environmental Specialist II),Full-Time (Salaried),5,"$55,000 - 85,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4078-enforcement-and-data-quality-coordinator-environmental-specialist-ii-richmond-virginia-united-states
Federal Funds Manager,Full-Time (Salaried),NA,"$81,375 - $132,235",General Public - G,Closed,2023-03-02T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/federal-funds-manager-richmond-virginia-united-states
Business Operations Analyst,Full-Time (Salaried),NA,"Negotiable to $75,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/business-operations-analyst-richmond-virginia-united-states
Financial Analyst,Full-Time (Salaried),NA,"The anticipated starting salary range is $85,000 to $102,500",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,Dept of Criminal Justice Serv.,https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states
School Nutrition Program Farm to School Specialist,Full-Time (Salaried),5,"$60,000 min. - $80,000 max",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/school-nutrition-program-farm-to-school-specialist-richmond-virginia-united-states
IT Service Manager (Project Office),Full-Time (Salaried),NA,"$130,000 - $145,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/it-service-manager-project-office-richmond-virginia-united-states
Background Investigator,Full-Time (Salaried),NA,"Commensurate up to $70,000",General Public - G,Closed,2023-02-23T23:55:00Z,Hanover,DJJ Training Academy,https://www.jobs.virginia.gov/jobs/background-investigator-hanover-virginia-united-states
Regional Lieutenant,Full-Time (Salaried),NA,"Commensurate up to $105,000",Agency Employee Only - A,Closed,2023-02-23T23:55:00Z,Hanover,DJJ Training Academy,https://www.jobs.virginia.gov/jobs/regional-lieutenant-hanover-virginia-united-states
Office Services Specialist: Greensville Correctional Center #01004,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Closing soon,2023-03-06T23:55:00Z,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/office-services-specialist-greensville-correctional-center-01004-greensville-virginia-united-states
Environmental Health Specialist Senior,Full-Time (Salaried),4,"$38,894 - $60,000",General Public - G,Open,NA,Lunenburg,PIEDMONT-LUNENBURG,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-senior-lunenburg-virginia-united-states
Environmental Health Specialist,Full-Time (Salaried),4,"$41,000 - $47,250",General Public - G,Closing soon,2023-03-06T23:55:00Z,"Accomac
  Northampton",EASTERN SHORE-ACCOMACK-CEN,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-accomac-virginia-united-states-northampton
