Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Deputy Clerk - Portsmouth,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Open,2023-03-10T23:55:00Z,Portsmouth,Portsmouth General District Ct,https://www.jobs.virginia.gov/jobs/deputy-clerk-portsmouth-portsmouth-virginia-united-states,2023-03-04
Emergency Response Manager,VA Department of Transportation,Full-Time (Salaried),NA,"$78,583 - $95,000",General Public - G,Open,2023-03-31T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/emergency-response-manager-richmond-virginia-united-states,2023-03-04
Program Consultant Sr./Child Welfare Stipend Program State Coordinator #W1497,Department of Social Services,Full-Time (Salaried),5,"$67,000 - $73,000/yr.",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/program-consultant-sr-child-welfare-stipend-program-state-coordinator-w1497-richmond-virginia-united-states,2023-03-04
Deputy Clerk - Greene,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Open,2023-03-17T23:55:00Z,Greene,16th Dist.. CSU Green,https://www.jobs.virginia.gov/jobs/deputy-clerk-greene-greene-virginia-united-states,2023-03-04
Residential Community Coordinator,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $71,500",General Public - G,Open,2023-03-23T23:55:00Z,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/residential-community-coordinator-chesterfield-virginia-united-states,2023-03-04
Residential Community Manager,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $85,000",General Public - G,Open,2023-03-23T23:55:00Z,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/residential-community-manager-chesterfield-virginia-united-states,2023-03-04
Rehabilitation Counselor,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $52,920",General Public - G,Open,2023-03-23T23:55:00Z,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/rehabilitation-counselor-chesterfield-virginia-united-states,2023-03-04
Resident Specialist II,Department of Juvenile Justice,Full-Time (Salaried),NA,"Minimum $41,894 (Commensurate with experience)",General Public - G,Open,2023-03-23T23:55:00Z,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/resident-specialist-ii-chesterfield-virginia-united-states,2023-03-04
Power Plant Lead Worker: State Farm Correctional Center #01713,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,850 - $49,686",General Public - G,Open,NA,"Goochland
  Powhatan",State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/power-plant-lead-worker-state-farm-correctional-center-01713-goochland-virginia-united-states-powhatan,2023-03-04
Deputy Clerk - Post-Court - Richmond City,Supreme Court,Full-Time (Salaried),NA,"Negotiable up to $35,923.00",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,13th Dist. CSU Richmond,https://www.jobs.virginia.gov/jobs/deputy-clerk-post-court-richmond-city-richmond-virginia-united-states,2023-03-04
Deputy Clerk - Pre-Court - Richmond City,Supreme Court,Full-Time (Salaried),NA,"Negotiable up to $35,923.00",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,13th Dist. CSU Richmond,https://www.jobs.virginia.gov/jobs/deputy-clerk-pre-court-richmond-city-richmond-virginia-united-states-8359ac8f-2c6f-4605-95fa-7d2fe2cb4950,2023-03-04
Deputy Clerk - Pre-Court - Richmond City,Supreme Court,Full-Time (Salaried),NA,"Negotiable up to $35,923.00",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,13th Dist. CSU Richmond,https://www.jobs.virginia.gov/jobs/deputy-clerk-pre-court-richmond-city-richmond-virginia-united-states,2023-03-04
Mechanic/ Equipment Repair Technician-Fairfax,VA Department of Transportation,Full-Time (Salaried),NA,"$50,000-$80,000",General Public - G,Open,2023-03-15T23:55:00Z,Fairfax County,Fairfax Equipment Shop,https://www.jobs.virginia.gov/jobs/mechanic-equipment-repair-technician-fairfax-fairfax-county-virginia-united-states,2023-03-04
Land Surveyor Supervisor,VA Department of Transportation,Full-Time (Salaried),NA,"$80,236 - $104,307",General Public - G,Open,2023-03-17T23:55:00Z,"Amelia
  Colonial Heights",Richmond District Office,https://www.jobs.virginia.gov/jobs/land-surveyor-supervisor-colonial-heights-virginia-united-states-amelia,2023-03-04
Nursing Assistant (CNA) #00329; Marion Correctional Treatment Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$30,000 - $40,404",General Public - G,Open,NA,Smyth,Marion Corr Treatment Ctr,https://www.jobs.virginia.gov/jobs/nursing-assistant-cna-00329-marion-correctional-treatment-center-smyth-virginia-united-states,2023-03-04
Corrections Officer,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Richmond County
  Spotsylvania
  Stafford
  Westmoreland

            Richmond County
  Spotsylvania
  Stafford",Haynesville Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-richmond-county-virginia-united-states-spotsylvania-stafford-westmoreland,2023-03-04
Capital Outlay and Maintenance Reserve Manager,Virginia Museum of Fine Arts,Full-Time (Salaried),NA,"$65,000 - $70,000",General Public - G,Open,NA,Richmond,MAIN MUSEUM,https://www.jobs.virginia.gov/jobs/capital-outlay-maintenance-reserve-manager-richmond-virginia-united-states,2023-03-04
Personnel Analyst,Department of Health,Full-Time (Salaried),NA,"$53,000 - $64,000",General Public - G,Open,2023-03-14T23:55:00Z,Richmond,VDH-Central Office,https://www.jobs.virginia.gov/jobs/personnel-analyst-richmond-virginia-united-states-3944bb0c-9591-410e-9174-b623bce118fe,2023-03-04
DMV Customer Service Center Work Leader - VA Beach/Buckner CSC - Pos 01410,Department of Motor Vehicles,Full-Time (Salaried),NA,Commensurate With Experience,Agency Employee Only - A,Open,2023-03-14T23:55:00Z,Virginia Beach,VA BEACH/BUCKNER CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-work-leader-va-beach-buckner-csc-pos-01410-virginia-beach-virginia-united-states,2023-03-04
DMV Customer Service Center Work Leader/Floater - Pos 03556,Department of Motor Vehicles,Full-Time (Salaried),NA,Commensurate With Experience,Agency Employee Only - A,Open,2023-03-13T23:55:00Z,Fairfax County,FAIRFAX NORTH DM,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-work-leader-floater-pos-03556-fairfax-county-virginia-united-states,2023-03-04
Policy and Legislative Director,Department of Housing & Cmnty Devel,Full-Time (Salaried),7,"Negotiable up to $135,000",General Public - G,Open,2023-03-22T23:55:00Z,Richmond,Main Street Centre,https://www.jobs.virginia.gov/jobs/policy-and-legislative-director-richmond-virginia-united-states,2023-03-04
Senior Applications Developer,Department of Taxation,Full-Time (Salaried),6,Commensurate with Experience,General Public - G,Open,2023-03-14T17:00:00Z,Richmond,Main Street Centre,https://www.jobs.virginia.gov/jobs/senior-applications-developer-richmond-virginia-united-states,2023-03-04
Human Services Program Coordinator,Department of Health,Full-Time (Salaried),NA,"$65,929.75 - $75,672.75",General Public - G,Open,2023-03-14T23:55:00Z,Richmond,Dept of Health,https://www.jobs.virginia.gov/jobs/human-services-program-coordinator-richmond-virginia-united-states,2023-03-04
Forensic Administrative Specialist III- CF015,Department of Forensic Science,Full-Time (Salaried),3,"$30,000 - $52,500",General Public - G,Closing soon,2023-03-08T23:55:00Z,Manassas,Northern Lab,https://www.jobs.virginia.gov/jobs/forensic-administrative-specialist-iii-cf015-manassas-virginia-united-states,2023-03-04
HR Business Analyst #W2448 - REPOST,Department of Social Services,Full-Time (Salaried),5,"$50,811 - $75,000/yr.",General Public - G,Open,NA,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/hr-business-analyst-w2448-repost-richmond-virginia-united-states,2023-03-04
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"starting $53,183 (commensurate with experience)",General Public - G,Open,2023-03-12T23:55:00Z,Charlottesville,16th Dist. CSU Charlottesville,https://www.jobs.virginia.gov/jobs/probation-officer-charlottesville-virginia-united-states,2023-03-04
Facilities Specialist (Salem District),VA Department of Transportation,Full-Time (Salaried),NA,"$39,801 to $70,485",General Public - G,Open,2023-03-14T23:55:00Z,Salem,"Salem, Harrison Ave",https://www.jobs.virginia.gov/jobs/facilities-specialist-salem-district-salem-virginia-united-states,2023-03-04
"DMV Customer Service Generalist, Warrenton CSC, Pos. No. 00976",Department of Motor Vehicles,Full-Time (Salaried),3,"$35,850 - $39,435",General Public - G,Closing soon,2023-03-07T23:55:00Z,Fauquier County,WARRENTON CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-service-generalist-warrenton-csc-pos-no-00976-fauquier-county-virginia-united-states,2023-03-04
Deputy Clerk - Hampton,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Open,2023-03-10T23:55:00Z,Hampton,Hampton J&DR Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-hampton-hampton-virginia-united-states,2023-03-04
"DMV Customer Service Generalist, Woodstock CSC, Pos. No. 02093",Department of Motor Vehicles,Full-Time (Salaried),3,"$32,300 - $35,530",General Public - G,Closing soon,2023-03-07T23:55:00Z,Shenandoah,WOODSTOCK CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-service-generalist-woodstock-csc-pos-no-02093-shenandoah-virginia-united-states,2023-03-04
Forest Technician-James River District,Department of Forestry,Full-Time (Salaried),NA,"Starting at $33,000.00+ with state benefits",General Public - G,Open,2023-03-14T23:55:00Z,Amherst,Central Office Amherst,https://www.jobs.virginia.gov/jobs/forest-technician-james-river-district-amherst-virginia-united-states,2023-03-04
IT Support Service Lead- #WWRW0432,Department for Aging & Rehab Svcs,Full-Time (Salaried),6,"$66,380 - $120,000",General Public - G,Open,NA,Augusta County,Wilson Wkfc Rehab Ctn,https://www.jobs.virginia.gov/jobs/it-support-service-lead-wwrw0432-augusta-county-virginia-united-states,2023-03-04
IT Systems Services Manager - #ARS00614,Department for Aging & Rehab Svcs,Full-Time (Salaried),6,"$66,380 - $120,000",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/it-systems-services-manager-ars00614-henrico-virginia-united-states,2023-03-04
EDI Analyst,Department of Accounts,Full-Time (Salaried),NA,"$50,811 - $73,000",General Public - G,Open,2023-03-12T23:55:00Z,Richmond,Richmond,https://www.jobs.virginia.gov/jobs/edi-analyst-richmond-virginia-united-states,2023-03-04
EDI Analyst,Department of Accounts,Full-Time (Salaried),NA,"$50,811 - $73,000",General Public - G,Open,2023-03-12T23:55:00Z,Richmond,"This position has a hybrid work schedule, with at least three days/week in our office in downtown Richmond, VA.",https://www.jobs.virginia.gov/jobs/edi-analyst-richmond-virginia-united-states,2023-03-04
"Senior Engineer, Structure and Bridge",VA Department of Transportation,Full-Time (Salaried),NA,"$82,448 - $133,978",General Public - G,Open,2023-03-28T23:55:00Z,Staunton,Staunton District Office,https://www.jobs.virginia.gov/jobs/senior-engineer-structure-and-bridge-staunton-virginia-united-states,2023-03-04
DMV Human Resources Director,Department of Motor Vehicles,Full-Time (Salaried),7,"Commensurate with experience up to $140,000",General Public - G,Open,2023-03-20T23:55:00Z,Richmond,HUMAN RESOURCES,https://www.jobs.virginia.gov/jobs/dmv-human-resources-director-richmond-virginia-united-states,2023-03-04
Food Operations Supervisor (Multiple Vacancies): Hiring Event,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Open,NA,NA,Dept of Corrections,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-multiple-vacancies-hiring-event-virginia-united-states,2023-03-04
DMV Customer Service Center Work Leader - Williamsburg CSC - Pos 02158,Department of Motor Vehicles,Full-Time (Salaried),NA,Commensurate With Experience,Agency Employee Only - A,Open,2023-03-14T23:55:00Z,Williamsburg,WILLIAMSBURG CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-work-leader-williamsburg-csc-pos-02158-williamsburg-virginia-united-states-a7f53f0b-9de8-48e6-ac69-f9144c820ac8,2023-03-04
Construction Manager,VA Department of Transportation,Full-Time (Salaried),NA,"$98,647 - $128,241",General Public - G,Open,2023-03-14T23:55:00Z,Colonial Heights,Richmond District Office,https://www.jobs.virginia.gov/jobs/construction-manager-colonial-heights-virginia-united-states,2023-03-04
"Agency Management Analyst, #00763",Department of Motor Vehicles,Full-Time (Salaried),4,"Commensurate with experience, up to $54,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,ADMINISTRATIVE SERVICES,https://www.jobs.virginia.gov/jobs/agency-management-analyst-00763-richmond-virginia-united-states,2023-03-04
Maintenance Operator - Williamsburg Area Headquarters,VA Department of Transportation,Full-Time (Salaried),2,"$34,489 - $57,669",General Public - G,Open,2023-03-14T23:55:00Z,Williamsburg,Williamsburg Residency,https://www.jobs.virginia.gov/jobs/maintenance-operator-williamsburg-area-headquarters-williamsburg-virginia-united-states,2023-03-04
"Lead Print Tech (Decal), #01250",Department of Motor Vehicles,Full-Time (Salaried),3,"Commensurate with experience, up to $46,000",Agency Employee Only - A,Closing soon,2023-03-07T23:55:00Z,Richmond,PRINTING SECTION,https://www.jobs.virginia.gov/jobs/lead-print-tech-decal-01250-richmond-virginia-united-states,2023-03-04
Financial Response & Non IV-D Supervisor #W1975,Department of Social Services,Full-Time (Salaried),NA,"$69,331 to $72,812",NA,Closing soon,2023-03-09T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/financial-response-non-iv-d-supervisor-w1975-richmond-virginia-united-states,2023-03-04
Project Manager,VA Workers' Compensation Comm,Full-Time (Salaried),NA,"Minimum starting salary $89,580, commensurate with experience",General Public - G,Open,2023-03-14T23:55:00Z,Richmond,RICHMOND HEADQUARTERS,https://www.jobs.virginia.gov/jobs/project-manager-richmond-virginia-united-states-9d7ef996-f11b-49d3-99b3-8c096309799f,2023-03-04
Workforce Services Office Manager,Virginia Employment Commission,Full-Time (Salaried),NA,"$55,000 - $65,000 annually",General Public - G,Open,2023-03-12T23:55:00Z,Lynchburg,LYNCHBURG,https://www.jobs.virginia.gov/jobs/workforce-services-office-manager-lynchburg-virginia-united-states,2023-03-04
CSU Director,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $100,000",General Public - G,Open,2023-03-12T23:55:00Z,Fredericksburg,15th Dist. CSU Fredericksburg,https://www.jobs.virginia.gov/jobs/csu-director-fredericksburg-virginia-united-states,2023-03-04
Project Manager,Department of Military Affairs,Full-Time (Salaried),NA,"$50,000-$75,000",General Public - G,Open,2023-03-28T23:55:00Z,Nottoway,Department of Military Affairs,https://www.jobs.virginia.gov/jobs/project-manager-nottoway-virginia-united-states,2023-03-04
DMV Customer Service Center Work Leader - Tysons Cr. CSC - Pos 01940,Department of Motor Vehicles,Full-Time (Salaried),NA,Commensurate with Experience,Agency Employee Only - A,Open,2023-03-10T23:55:00Z,Fairfax County,TYSONS CORNER CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-work-leader-tysons-cr-csc-pos-01940-fairfax-county-virginia-united-states,2023-03-04
Public Health Nurse,Department of Health,Full-Time (Salaried),NA,"$54,000 - $ 57,500",General Public - G,Open,NA,Staunton,Cent Shen-August/Staunton,https://www.jobs.virginia.gov/jobs/public-health-nurse-staunton-virginia-united-states-a91e4dae-1c74-48c4-b4e7-fc1485549043,2023-03-04
Public Health Nurse,Department of Health,Full-Time (Salaried),NA,"$54,000 - $57,500",General Public - G,Open,NA,Staunton,Cent Shen-August/Staunton,https://www.jobs.virginia.gov/jobs/public-health-nurse-staunton-virginia-united-states-93061245-4755-4f91-abed-a69882cec44b,2023-03-04
Public Health Nurse,Department of Health,Full-Time (Salaried),NA,"$54,000 - $57,500",General Public - G,Open,NA,Staunton,Cent Shen-August/Staunton,https://www.jobs.virginia.gov/jobs/public-health-nurse-staunton-virginia-united-states,2023-03-04
Environmental Health Specialist,Department of Health,Full-Time (Salaried),NA,"$39,500 - $55,000",General Public - G,Open,NA,Staunton,Cent Shen-August/Staunton,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-staunton-virginia-united-states-50dcc168-d370-4de2-a733-0ae0b84353c6,2023-03-04
Treatment Plant Operator (Caroline Plant) - #01332,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$36,383 - $56,757",General Public - G,Open,2023-03-10T23:55:00Z,Caroline,Caroline Correctional Unit 02,https://www.jobs.virginia.gov/jobs/treatment-plant-operator-caroline-plant-01332-caroline-virginia-united-states,2023-03-04
SWRO - P3011 - Air Permit Writer,Department of Environmental Quality,Full-Time (Salaried),NA,"$50,811 - $96,448",General Public - G,Open,2023-03-14T23:55:00Z,Washington,Southwest Regional Office,https://www.jobs.virginia.gov/jobs/swro-p3011-air-permit-writer-washington-virginia-united-states,2023-03-04
Deputy Director of Vital Records,Department of Health,Full-Time (Salaried),NA,"$100,000-$115,000",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,VITAL RECORDS,https://www.jobs.virginia.gov/jobs/deputy-director-of-vital-records-richmond-virginia-united-states,2023-03-04
Food Operations Supervisor: Nottoway Correctional Center #00028,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Open,NA,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-nottoway-correctional-center-00023-nottoway-virginia-united-states,2023-03-04
Human Services Program Supervisor (Tobacco Control Program Manager),Department of Health,Full-Time (Salaried),NA,"$84,820.75 - $90,000.00",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,VDH-Central Office,https://www.jobs.virginia.gov/jobs/human-services-program-supervisor-tobacco-control-program-manager-richmond-virginia-united-states,2023-03-04
"Area Construction Engineer, PE",VA Department of Transportation,Full-Time (Salaried),NA,"$99,300-$161,000",General Public - G,Open,2023-03-14T23:55:00Z,Fairfax County,NOVA District Office,https://www.jobs.virginia.gov/jobs/area-construction-engineer-pe-fairfax-county-virginia-united-states,2023-03-04
Sr. Materials Documentation Technician,VA Department of Transportation,Full-Time (Salaried),NA,"$55,176-$89,661",General Public - G,Open,2023-03-14T23:55:00Z,Fairfax County,NOVA District Office,https://www.jobs.virginia.gov/jobs/sr-materials-documentation-technician-fairfax-county-virginia-united-states,2023-03-04
Campus Life Associate (Aquatics- Rec) - #W0074,Department for Aging & Rehab Svcs,Full-Time (Salaried),3,"Maximum salary $40,000",General Public - G,Open,NA,Augusta County,Wilson Wkfc Rehab Ctn,https://www.jobs.virginia.gov/jobs/campus-life-associate-aquatics-rec-w0074-augusta-county-virginia-united-states,2023-03-04
Construction Manager - Bristol,VA Department of Transportation,Full-Time (Salaried),NA,"$73,394 - $119,265",General Public - G,Open,2023-03-13T23:55:00Z,Bristol,Bristol District Office,https://www.jobs.virginia.gov/jobs/construction-manager-bristol-bristol-virginia-united-states,2023-03-04
Accountant,Department of Health,Full-Time (Salaried),NA,"$54,000-$64,000",General Public - G,Closing soon,2023-03-09T23:55:00Z,Richmond,RICHMOND-HQ,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-7f971c2f-2b0a-451d-ae37-383eff29efb8,2023-03-04
Special Education Financial Data Specialist,Department of Ed Central Operations,Full-Time (Salaried),5,"$50,811 min. - $85,000 max.",General Public - G,Open,NA,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/special-education-financial-data-specialist-richmond-virginia-united-states,2023-03-04
Forensic Scientist - Digital & Multimedia Evidence - Central Laboratory - CF449,Department of Forensic Science,Full-Time (Salaried),5,"$52,676 - $88,123",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,Dept of Forensic Science,https://www.jobs.virginia.gov/jobs/forensic-scientist-digital-multimedia-evidence-central-laboratory-cf449-richmond-virginia-united-states,2023-03-04
Corrections Sergeant: Nottoway Correctional Center #00105,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,400 - $82,732",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-sergeant-nottoway-correctional-center-00105-nottoway-virginia-united-states,2023-03-04
Attorney - Assistant Public Defender I/II - Chesapeake,Indigent Defense Commission,Full-Time (Salaried),NA,"$58,492.00 / $67,052.00 + State Benefits",General Public - G,Open,2023-03-13T23:55:00Z,Chesapeake,CHESAPEAKE 324,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-chesapeake-chesapeake-virginia-united-states,2023-03-04
Unit Manager: Keen Mountain Correctional Center #00410,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$53,352 - $83,329",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,Richmond,Keen Mountain Correctional Ctr,https://www.jobs.virginia.gov/jobs/unit-manager-keen-mountain-correctional-center-00410-richmond-virginia-united-states,2023-03-04
Business Manager A (CBP),Department of Health,Full-Time (Salaried),NA,"$38,894 - $58,000",General Public - G,Open,2023-03-15T23:55:00Z,Tazewell,CUMB PLATEAU-TAZEWELL,https://www.jobs.virginia.gov/jobs/business-manager-a-cbp-tazewell-virginia-united-states,2023-03-04
Corrections Lieutenant: Chesterfield Womens CCAP #01875,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$51,240 - $89,223",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Chesterfield,Chesterfield Womens CCAP,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-chesterfield-womens-ccap-01875-chesterfield-virginia-united-states,2023-03-04
Probation Officer: P&P District #32 Henrico #P3204,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Open,2023-03-17T23:55:00Z,Henrico,Henrico P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-32-henrico-p3204-henrico-virginia-united-states,2023-03-04
Corrections Lieutenant: Fluvanna Correctional Center for Women #00058,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$53,577 - $89,223",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-fluvanna-correctional-center-for-women-00058-fluvanna-virginia-united-states,2023-03-04
Casework Counselor: Nottoway Correctional Center #00072,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Open,2023-03-17T23:55:00Z,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/casework-counselor-nottoway-correctional-center-00072-nottoway-virginia-united-states,2023-03-04
Probation Officer: P&P District #9 Charlottesville #P0925,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Open,2023-03-17T23:55:00Z,Charlottesville,Charlottesville P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-9-charlottesville-p0925-charlottesville-virginia-united-states,2023-03-04
Office Services Assistant: P&P District 36 #P3611,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$37,485 - $48,561",General Public - G,Open,2023-03-17T23:55:00Z,"Alexandria
  Richmond",Alexandria P&P,https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-36-p3611-richmond-virginia-united-states,2023-03-04
Food Operations Assistant Director - Fluvanna Correctional Center #00101,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,890 - $64,909",General Public - G,Open,2023-03-17T23:55:00Z,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-fluvanna-correctional-center-00101-fluvanna-virginia-united-states,2023-03-04
Chief of Housing and Programs Manager: Virginia Corr Ctr For Women #01144,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$54,359 - $89,148",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/chief-of-housing-and-programs-manager-virginia-corr-ctr-for-women-01144-goochland-virginia-united-states,2023-03-04
Maintenance Operator - Shipman AHQ,VA Department of Transportation,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,2023-03-17T23:55:00Z,Nelson,Shipman AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-shipman-ahq-nelson-virginia-united-states-ba8fc9d8-2788-45ca-a88c-9905baa5afe0,2023-03-04
Transportation Operator,VA Department of Transportation,Full-Time (Salaried),NA,"$34,660 - $44,500",General Public - G,Open,2023-03-12T23:55:00Z,Hampton,Hampton Roads Harbor Tunnels,https://www.jobs.virginia.gov/jobs/transportation-operator-hampton-virginia-united-states,2023-03-04
Enterprise Architect,VA Information Tech Agency,Full-Time (Salaried),NA,"Negotiable to $120,000",General Public - G,Open,NA,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/enterprise-architect-richmond-virginia-united-states,2023-03-04
Customer Account Manager (CAM),VA Information Tech Agency,Full-Time (Salaried),NA,"Negotiable to $120,000",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/customer-account-manager-cam-richmond-virginia-united-states,2023-03-04
RN Unit Manager,Department of Veterans Services,Full-Time (Salaried),NA,"$80,000 - $95,000",General Public - G,Open,2023-03-16T23:55:00Z,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/rn-unit-manager-roanoke-virginia-united-states,2023-03-04
Office Services Specialist: Bland Correctional Center #00264,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Open,2023-03-10T23:55:00Z,Bland,Bland Correctional Center,https://www.jobs.virginia.gov/jobs/office-services-specialist-bland-correctional-center-00264-bland-virginia-united-states,2023-03-04
Corrections Lieutenant (Shift Comdr): Central Virginia Correctional Unit 13 #13057,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$51,240 - $89,223",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Chesterfield,Central VA Corr Unit 13,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-shift-comdr-central-virginia-correctional-unit-13-13057-chesterfield-virginia-united-states,2023-03-04
Meat and Poultry Inspector (Rockingham Co) #01096,Agriculture & Consumer Svcs,Full-Time (Salaried),4,"Up to $55,000 annually. Excellent State Benefits",General Public - G,Open,2023-03-13T23:55:00Z,Rockingham,HARRISONBURG LAB-OFFICE,https://www.jobs.virginia.gov/jobs/meat-and-poultry-inspector-rockingham-co-01096-rockingham-virginia-united-states,2023-03-04
Business & Economic Development Navigator,Virginia Employment Commission,Full-Time (Salaried),NA,"$46,200 - $51,700 annually",Agency Employee Only - A,Open,2023-03-12T23:55:00Z,"Amelia
  Brunswick
  Charles City
  Chesterfield
  Colonial Heights
  Dinwiddie
  Emporia
  Goochland
  Greensville
  Hanover
  Henrico
  Hopewell
  Lunenburg
  Mecklenburg
  New Kent
  Nottoway
  Powhatan
  Prince George
  Richmond
  Surry
  Sussex

            Amelia
  Brunswick
  Charles City",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/business-economic-development-navigator-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla,2023-03-04
Agency Procurement Spec Senior,Department of Health,Full-Time (Salaried),NA,"$60,000 - $75,000",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,VDH-Central Office,https://www.jobs.virginia.gov/jobs/agency-procurement-spec-senior-richmond-virginia-united-states,2023-03-04
Protective Services Hotline Specialist,Department of Social Services,Full-Time (Salaried),NA,"$51,000 - $56,000 (Commensurate with experience)",General Public - G,Closing soon,2023-03-08T23:55:00Z,Richmond,Dept of Social Services,https://www.jobs.virginia.gov/jobs/protective-services-hotline-specialist-richmond-virginia-united-states,2023-03-04
