Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Agriculture and Foreign Labor Specialist,Virginia Employment Commission,Full-Time (Salaried),NA,"$45,000 - $55,000 annually",General Public - G,Open,NA,"Amelia
  Appomattox
  Brunswick
  Cumberland
  Emporia
  Greensville
  Henrico
  Lunenburg
  Mecklenburg
  Nottoway
  Powhatan
  Prince Edward

            Amelia
  Appomattox
  Brunswick",EMPORIA,https://www.jobs.virginia.gov/jobs/agriculture-and-foreign-labor-specialist-emporia-virginia-united-states,2023-02-23
Deputy Clerk - Accomack,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-03-03T23:55:00Z,Accomac,2-A Dist. CSU Accomac,https://www.jobs.virginia.gov/jobs/deputy-clerk-accomack-accomac-virginia-united-states,2023-02-23
"Regional Marketing Specialist (food, agricultural and forest products)",Agriculture & Consumer Svcs,Full-Time (Salaried),5,"Up to $75,600 annually",General Public - G,Open,2023-03-24T23:55:00Z,Wythe,WYTHEVILLE LAB-OFFICE,https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-forest-products-wythe-virginia-united-states,2023-02-23
Grants Specialist,Agriculture & Consumer Svcs,Full-Time (Salaried),5,"Up to $70,000 annually",General Public - G,Closed,2023-03-07T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/grants-specialist-richmond-virginia-united-states,2023-02-23
Director of Rehabilitation Teaching and Independent Living - #BVI00017,Department for Blind/Vision Impaired,Full-Time (Salaried),5,"Minimum starting salary at $68,000 commensurate with exp commensurate with experience",General Public - G,Open,NA,Henrico,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/director-of-rehabilitation-teaching-and-independent-living-bvi00017-henrico-virginia-united-states,2023-02-23
Braille Transcriber - #BVI00182,Department for Blind/Vision Impaired,Full-Time (Salaried),3,"$29,772 - $41,400",General Public - G,Open,NA,Henrico,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/braille-transcriber-bvi00182-henrico-virginia-united-states,2023-02-23
"Support Enforcement Specialist - Winchester, (W1222)",Department of Social Services,Full-Time (Salaried),NA,"$38,894 - $47,000, (salary commensurate with experience)",General Public - G,Closed,2023-02-27T23:55:00Z,Winchester,DCSE WINCHESTER,https://www.jobs.virginia.gov/jobs/support-enforcement-specialist-winchester-w1222-winchester-virginia-united-states,2023-02-23
"Program Support Technician - Richmond, W1939",Department of Social Services,Full-Time (Salaried),NA,"$36,000 - $40,000 (salary commensurate with experience)",General Public - G,Closed,2023-02-27T23:55:00Z,Henrico,DCSE CENTRAL VIRGINIA,https://www.jobs.virginia.gov/jobs/program-support-technician-richmond-w1939-henrico-virginia-united-states,2023-02-23
Human Services Manager - #ARS00005,Department for Aging & Rehab Svcs,Full-Time (Salaried),5,"Minimum starting salary at $71,663 commensurate with experience",Agency Employee Only - A,Closed,2023-02-27T23:55:00Z,Charlottesville,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/human-services-manager-ars00005-charlottesville-virginia-united-states,2023-02-23
Reemployment Services and Eligibility Assessment (RESEA) Specialist,Virginia Employment Commission,Full-Time (Salaried),NA,"$42,000 - $47,000",Agency Employee Only - A,Closed,2023-02-26T23:55:00Z,"Accomac
  Augusta County
  Bristol
  Charlottesville
  Covington
  Danville
  Emporia
  Galax
  Northampton
  South Boston
  Tazewell
  Wythe

            Accomac
  Augusta County
  Bristol",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/reemployment-services-and-eligibility-assessment-resea-specialist-accomac-virginia-united-states-augusta-county-bristol-charlottesville-covington-danville-emporia-galax-northampton-south-bost,2023-02-23
Field Supervisor #W1293 (Newport News),Department of Social Services,Full-Time (Salaried),NA,"$62,904 to $70,962 (salary commensurate w/experience)",Agency Employee Only - A,Closed,2023-02-27T23:55:00Z,Newport News,DCSE NEWPORT NEWS,https://www.jobs.virginia.gov/jobs/field-supervisor-w1293-newport-news-newport-news-virginia-united-states,2023-02-23
Cabinet Making Teacher: Greensville Correctional Center #ED023,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$58,093 - $81,471",General Public - G,Closed,2023-03-06T23:55:00Z,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/cabinet-making-teacher-greensville-correctional-center-ed023-greensville-virginia-united-states,2023-02-23
Deputy Chief Probation Officer (Probation Supervisor): Voice Verification/Biometric Unit - #00609,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$57,785 - $96,315",Agency Employee Only - A,Closed,2023-03-06T23:55:00Z,Powhatan,Deputy Dir Off-Comm Corr,https://www.jobs.virginia.gov/jobs/deputy-chief-probation-officer-probation-supervisor-voice-verification-biometric-unit-00609-powhatan-virginia-united-states,2023-02-23
Postal Assistant: Haynesville Correctional Complex #00349,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$30,000 - $38,865",General Public - G,Closed,2023-03-06T23:55:00Z,Richmond County,Haynesville Correctional Ctr,https://www.jobs.virginia.gov/jobs/postal-assistant-haynesville-correctional-complex-00349-richmond-county-virginia-united-states,2023-02-23
Program Support Technician (Human Resources): St. Brides Correctional Center #00438,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Closed,2023-03-06T23:55:00Z,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-human-resources-st-brides-correctional-center-00438-chesapeake-virginia-united-states,2023-02-23
Plumbing/Pipefitting Teacher: St. Brides Correctional Center #ED013,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$56,786 - $79,639",General Public - G,Open,NA,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/plumbing-pipefitting-teacher-st-brides-correctional-center-ed013-chesapeake-virginia-united-states,2023-02-23
Probation Officer: P&P District #5/Gloucester #P0509,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Closed,2023-03-06T23:55:00Z,Gloucester,Gloucester P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-5-gloucester-p0509-gloucester-virginia-united-states,2023-02-23
Fish Culturist,Department of Wildlife Resources,Full-Time (Salaried),3,"Starting @ $29,772 (salary to commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Bath,Coursey Springs Hatchery,https://www.jobs.virginia.gov/jobs/fish-culturist-bath-virginia-united-states,2023-02-23
Program Support Technician 00724,Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience up to $41,600",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,COMMERCIAL LICENSING WORK CNTR,https://www.jobs.virginia.gov/jobs/program-support-technician-00724-richmond-virginia-united-states,2023-02-23
Chief Financial Officer - #ARS00646,Department for Aging & Rehab Svcs,Full-Time (Salaried),7,Commensurate with experience - Projected Salary in the $150s,General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/chief-financial-officer-ars00646-henrico-virginia-united-states,2023-02-23
ROW Associate,VA Department of Transportation,Full-Time (Salaried),NA,"$47,000 flat amount",General Public - G,Closed,2023-03-02T23:55:00Z,Salem,Salem District Office,https://www.jobs.virginia.gov/jobs/row-associate-salem-virginia-united-states,2023-02-23
Environmental Health Specialist Sr.,Department of Health,Full-Time (Salaried),4,"$42,000 - $58,000",General Public - G,Closed,2023-03-07T23:55:00Z,Culpepper,RAP-RAP-CULPEPER,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-culpepper-virginia-united-states,2023-02-23
Public Health Nurse (RN),Department of Health,Full-Time (Salaried),4,"$60,900 - $67,250",General Public - G,Closed,2023-03-07T23:55:00Z,Culpepper,RAP-RAP-CULPEPER,https://www.jobs.virginia.gov/jobs/public-health-nurse-rn-culpepper-virginia-united-states,2023-02-23
Program Support Technician 00870,Department of Motor Vehicles,Full-Time (Salaried),3,"Commensurate with experience $41,600",General Public - G,Closed,2023-03-01T23:55:00Z,Richmond,DRIVER SERVICES ADMIN,https://www.jobs.virginia.gov/jobs/program-support-technician-00870-richmond-virginia-united-states,2023-02-23
District Wildlife Biologist,Department of Wildlife Resources,Full-Time (Salaried),5,"Starting @ $53,000 (salary to commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,"Wise, Virginia",Clinch Mountain,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-wise-virginia-virginia-united-states,2023-02-23
District Wildlife Biologist,Department of Wildlife Resources,Full-Time (Salaried),5,"Starting @$53,000 (salary to commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Prince Edward,Briery Creek WMA,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-prince-edward-virginia-united-states,2023-02-23
Production Technician: Haynesville Correctional Center #00231,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,626 - $50,440",General Public - G,Closed,2023-03-06T23:55:00Z,Richmond County,Haynesville Correctional Ctr,https://www.jobs.virginia.gov/jobs/production-technician-haynesville-correctional-center-00231-richmond-county-virginia-united-states,2023-02-23
Release Engineer #00882: Department of Corrections,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$77,175 - $127,339",General Public - G,Closed,2023-03-06T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/release-engineer-00882-department-of-corrections-richmond-virginia-united-states,2023-02-23
District Wildlife Biologist,Department of Wildlife Resources,Full-Time (Salaried),5,"Starting @ $53,000 (salary to commensurate with experience)",General Public - G,Closed,2023-03-03T23:55:00Z,Smyth,Region III Office Marion,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-smyth-virginia-united-states,2023-02-23
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"starting $53,183 (commensurate with experience)",General Public - G,Closed,2023-03-05T23:55:00Z,"Wise, Virginia",CSU 30 - Wise,https://www.jobs.virginia.gov/jobs/probation-officer-wise-virginia-virginia-united-states,2023-02-23
Planning and Reporting Program Manager,VA Department of Transportation,Full-Time (Salaried),NA,"$81,375 - $132,235",General Public - G,Closed,2023-03-02T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/planning-and-reporting-program-manager-richmond-virginia-united-states,2023-02-23
BRRO - P4421 - Stormwater Inspector,Department of Environmental Quality,Full-Time (Salaried),5,"$50,811 - $85,000",General Public - G,Closed,2023-03-03T23:55:00Z,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",Blue Ridge Regional Office,https://www.jobs.virginia.gov/jobs/brro-p4421-stormwater-inspector-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla,2023-02-23
CO - P6038 -  Mitigation Specialist,Department of Environmental Quality,Full-Time (Salaried),5,"$50,811 - $90,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p6038-mitigation-specialist-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-blan,2023-02-23
Attorney - Legal Affairs and Policy,Virginia Retirement System,Full-Time (Salaried),NA,"$130,000-$160,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/attorney-legal-affairs-and-policy-richmond-virginia-united-states,2023-02-23
Program Management Coordinator,VA Department of Transportation,Full-Time (Salaried),NA,"$48,000 - $78,008",General Public - G,Closing soon,2023-03-10T23:55:00Z,NA,Bristol District Office,https://www.jobs.virginia.gov/jobs/program-management-coordinator-bristol-virginia-united-states-ea6c6a3b-255b-4e55-ab4d-3e4a97676646,2023-02-23
Memory Care Activities Assistant,Department of Veterans Services,Full-Time (Salaried),NA,"$33,280 - $39,520",General Public - G,Closed,2023-03-01T23:55:00Z,Richmond,Sitter-Barfoot Veterans Care,https://www.jobs.virginia.gov/jobs/memory-care-activities-assistant-richmond-virginia-united-states,2023-02-23
Accounting Supervisor: Central Administration #01557,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,305 - $72,236",General Public - G,Closed,2023-02-27T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/accounting-supervisor-central-administration-01557-richmond-virginia-united-states,2023-02-23
Website Administrator Sr. #01482: Department of Corrections,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$77,175 - $127,339",General Public - G,Closed,2023-03-06T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/website-administrator-sr-01482-department-of-corrections-richmond-virginia-united-states,2023-02-23
Casework Counselor: Central Virginia Correctional Unit 13 #13060,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Closed,2023-03-06T23:55:00Z,Chesterfield,Central VA Corr Unit 13,https://www.jobs.virginia.gov/jobs/casework-counselor-central-virginia-correctional-unit-13-13060-chesterfield-virginia-united-states-afb81a2e-64a4-42f1-a256-592c6fe029d2,2023-02-23
Fiscal Tech Senior: Nottoway Correctional Center #00645,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$38,000 - $54,317",General Public - G,Closed,2023-03-06T23:55:00Z,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/fiscal-tech-senior-nottoway-correctional-center-00645-nottoway-virginia-united-states,2023-02-23
Librarian: Dillwyn Correctional Center #ED004,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$51,626 - $72,403",General Public - G,Closed,2023-03-06T23:55:00Z,Buckingham,Dillwyn Correctional Center,https://www.jobs.virginia.gov/jobs/librarian-dillwyn-correctional-center-ed004-buckingham-virginia-united-states,2023-02-23
Corrections Sergeant: Coffeewood Correctional Center #00162,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,400 - $82,732",Agency Employee Only - A,Closed,2023-03-06T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-sergeant-coffeewood-correctional-center-00162-culpepper-virginia-united-states,2023-02-23
